SOL_Japanese_P, SOL_Se_As_A_L_Tagal_F, SEO_Persons, SOL_Greek_M, SOL_Greek_F, SOL_Aus_Indig_Lang_P, SOL_Chin_lang_Tot_P, SOL_Se_As_A_L_Othr_P, SOL_Chin_lang_Tot_M, SOL_Aus_Indig_Lang_M, SOL_Japanese_F, SOL_Se_As_A_L_Tagal_P, SOL_Aus_Indig_Lang_F, SOL_In_Ar_Lang_Punj_P, SOL_Chin_lang_Tot_F, SOL_Se_As_A_L_Tagal_M, SOL_Japanese_M, SOL_Se_As_A_L_Filipino_F, SOL_Arabic_M, SOL_Se_As_A_L_Indon_F, SOL_Se_As_A_L_Othr_F, SOL_Arabic_P, SOL_Se_As_A_L_Filipino_P, SOL_Arabic_F, SOL_Se_As_A_L_Filipino_M, SOL_Russian_M, SOL_Russian_P, SOL_Se_As_A_L_Othr_M, SOL_Se_As_A_L_Indon_M, SOL_Se_As_A_L_Indon_P, SOL_Chin_lang_Mand_F, SOL_Russian_F, SOL_Greek_P, SOL_Chin_lang_Other_F, Language_spoken_home_ns_M, SEO_Males, SOL_Ir_La_Pe_excl_Da_P, SOL_Ir_La_Pe_excl_Da_M, SOL_Ir_La_Pe_excl_Da_F, SOL_Tamil_F, Language_spoken_home_ns_F, SOL_French_M, SOL_Maltese_M, SOL_Dutch_M, SOL_Chin_lang_Mand_P, SOL_Maltese_P, SOL_Dutch_F, SOL_Irani_Lan_Othr_F, SOL_French_F, SOL_Chin_lang_Mand_M, SOL_Italian_F, SOL_Chin_lang_Other_M, SOL_Maltese_F, SOL_French_P, SOL_Irani_Lan_Othr_M, SOL_Dutch_P, SOL_Chin_lang_Other_P, SOL_Italian_M, SOL_Other_P, SOL_Irani_Lan_Othr_P, SOL_Ir_Lang_Dari_F, SOL_Italian_P, SOL_In_Ar_Lang_Punj_M, SOL_Portuguese_F, SOL_In_Ar_Lang_Punj_F, SOL_Ir_Lang_Dari_M, SOL_Ir_Lang_Dari_P, SOL_Khmer_F, SOL_Tamil_P, SOL_In_Ar_Lang_Tot_P, SOL_Tamil_M, SOL_In_Ar_Lang_Othr_F, SOL_In_Ar_Lang_Tot_M, SOL_Portuguese_P, SOL_Khmer_P, SOL_Other_F, SOL_In_Ar_Lang_Othr_M, SOL_Khmer_M, SOL_Other_M, SOL_In_Ar_Lang_Tot_F, SOL_In_Ar_Lang_Othr_P, SOL_Portuguese_M, SOL_Macedonian_F, SOL_Hungarian_P, Total_F, SOL_Serbian_P, SA2_MAIN11, SOL_Spanish_M, SOL_Turkish_F, SOL_Serbian_M, SOL_Spanish_P, SOL_Serbian_F, SOL_Se_As_A_L_Tot_M, SOL_Se_As_A_L_Tot_F, SOL_Spanish_F, SOL_In_Ar_Lang_Beng_M, SOL_In_Ar_Lang_Beng_P, SOL_Chin_lang_Cant_P, Total_P, Total_M, SOL_In_Ar_Lang_Beng_F, SOL_Se_As_A_L_Tot_P, SOL_Thai_P, SOL_Thai_M, Language_spoken_home_ns_P, SOL_Chin_lang_Cant_M, SOL_Thai_F, SOL_Croatian_F, SA2_NAME11, SOL_Chin_lang_Cant_F, SOL_Turkish_M, SOL_Assyrian_P, SOL_Assyrian_M, SOL_Turkish_P, SOL_Hungarian_F, SOL_Hungarian_M, SOL_Assyrian_F, SOL_Iran_Lan_Tot_F, SOL_In_Ar_Lang_Urdu_F, SOL_In_Ar_Lang_Sinh_F, SOL_Iran_Lan_Tot_M, SOL_Polish_P, SOL_In_Ar_Lang_Urdu_M, SOL_Iran_Lan_Tot_P, SOL_In_Ar_Lang_Sinh_M, SOL_In_Ar_Lang_Urdu_P, SEO_Females, SOL_In_Ar_Lang_Sinh_P, SOL_Croatian_M, SOL_Korean_M, SOL_Croatian_P, SOL_Polish_M, SOL_Korean_P, SOL_Tot_M, SOL_German_F, SOL_Tot_P, SOL_Tot_F, SOL_Polish_F, SOL_Vietnamese_F, SOL_Samoan_F, SOL_Vietnamese_P, SOL_German_M, SOL_Korean_F, SOL_Vietnamese_M, SOL_Samoan_M, SOL_In_Ar_Lang_Hind_F, SOL_Samoan_P, SOL_German_P, SOL_In_Ar_Lang_Hind_P, SOL_Macedonian_P, SOL_In_Ar_Lang_Hind_M, SOL_Macedonian_M
10,6,10367,29,30,0,28,21,12,0,3,10,0,19,16,4,7,7,27,11,10,53,7,26,0,0,3,11,4,15,3,3,59,5,321,5237,0,0,0,8,344,0,39,5,6,73,6,0,0,3,111,3,34,0,0,11,8,110,139,0,0,221,6,8,13,0,0,0,12,39,4,3,17,12,3,69,3,3,70,22,6,4,38,6,5986,14,"209041224",6,17,4,19,10,19,34,13,0,0,14,12029,6043,0,53,7,3,665,6,4,13,"Wallan",8,27,6,3,44,3,3,3,0,0,3,0,12,0,0,3,0,5130,6,10,0,23,6,4,485,12,997,512,6,6,13,6,19,4,0,16,3,29,31,8,80,5,42
0,3,6568,46,36,0,12,3,6,0,0,7,0,0,6,4,0,0,4,0,0,9,0,5,0,0,5,3,0,0,3,5,82,0,109,3286,0,0,0,4,112,0,17,9,6,32,14,0,3,3,84,0,15,3,0,23,0,110,51,0,0,194,0,5,0,0,0,0,7,6,3,0,3,5,0,25,0,0,26,3,0,0,43,7,3683,8,"209041225",3,4,3,6,5,7,3,3,0,0,6,7416,3733,0,10,0,0,221,3,0,6,"Whittlesea",3,0,3,3,4,3,4,0,0,0,0,0,7,0,0,3,0,3282,3,6,0,12,3,0,338,13,627,289,4,0,0,0,14,0,0,0,3,0,27,3,114,0,71
76,25,14331,693,712,4,774,52,357,4,51,38,0,63,417,13,25,18,359,82,25,666,29,307,11,17,33,27,90,172,252,16,1405,32,693,6883,32,17,15,20,580,58,22,19,466,53,11,0,82,214,816,23,31,140,7,30,55,610,374,7,0,1426,44,23,19,0,0,9,49,759,29,140,477,39,9,174,212,0,200,282,352,16,9,10,11636,32,"206011105",103,88,19,216,13,141,150,113,33,66,253,22761,11125,33,291,41,8,1273,120,33,23,"Brunswick",133,111,42,28,199,0,10,14,15,44,8,24,30,104,39,16,148,7448,24,36,21,59,17,48,3549,60,7157,3608,13,99,0,183,51,27,84,0,38,0,111,106,19,68,10
40,3,5551,185,208,0,249,12,98,0,21,7,0,11,151,4,19,4,99,11,9,211,4,112,0,3,13,3,15,26,92,10,393,9,210,2595,3,3,0,4,212,23,16,3,150,36,8,0,17,58,439,6,20,40,3,11,15,340,127,3,0,779,7,8,4,0,0,0,13,181,9,37,114,16,0,65,66,0,62,67,103,8,10,0,4516,13,"206011106",39,16,10,80,3,22,27,41,5,11,84,8476,3960,6,49,16,3,422,34,13,14,"Brunswick East",50,24,17,10,40,0,0,7,0,3,5,6,19,13,6,6,16,2956,11,6,3,20,5,3,1155,26,2503,1348,14,47,0,72,15,0,25,0,12,0,41,29,18,17,8
8,5,13974,122,107,0,30,3,9,0,4,5,0,3,21,0,4,7,10,3,3,10,7,0,0,0,3,0,0,3,12,3,229,3,541,6927,0,0,0,3,530,16,6,13,18,11,10,0,15,6,175,3,5,31,0,23,6,198,121,0,0,373,3,3,0,0,0,3,3,6,0,0,3,6,10,59,0,7,62,3,0,3,3,18,8101,19,"214021383",7,0,6,12,13,0,18,5,0,0,6,16128,8027,0,18,4,4,1071,0,0,29,"Point Nepean",6,0,0,0,0,8,10,0,0,0,0,0,6,0,0,0,0,7047,0,36,0,65,0,0,559,28,1083,524,6,3,0,3,37,0,0,0,3,0,65,3,9,0,6
48,30,7871,387,422,0,439,33,206,0,30,46,0,80,233,16,18,20,198,42,18,389,33,191,13,10,13,15,42,84,160,3,809,17,398,3830,45,23,22,11,301,21,11,9,295,28,7,7,17,135,514,16,17,38,8,16,33,393,383,15,0,907,49,17,31,3,3,0,26,604,15,97,350,24,0,183,111,0,200,254,208,7,6,6,6691,29,"206011107",81,47,15,143,14,86,110,62,33,61,111,13149,6458,28,196,29,8,699,55,21,26,"Brunswick West",56,47,6,3,94,3,3,3,29,32,19,34,28,79,63,20,111,4041,39,18,10,44,10,28,2230,29,4579,2349,18,60,4,110,30,18,50,3,47,7,59,105,13,58,7
41,3,5867,80,77,6,506,10,195,3,22,6,3,8,311,3,19,0,67,6,6,155,3,88,3,0,3,4,5,11,132,3,157,18,553,2951,24,12,12,4,458,30,5,9,207,9,11,9,36,75,63,11,4,66,10,20,29,82,443,19,15,145,4,3,4,10,25,0,4,45,0,0,25,3,0,244,10,0,199,20,10,0,34,3,4779,24,"206071142",52,33,12,97,12,15,15,45,5,5,270,9431,4652,0,30,32,16,1011,109,16,7,"Fitzroy",161,25,0,0,58,0,3,0,36,5,3,32,22,3,68,3,8,2916,6,10,0,17,9,8,1148,18,2553,1405,13,279,0,482,26,8,203,0,8,0,44,8,65,0,31
62,34,13335,879,953,0,612,49,276,0,33,50,0,117,336,16,29,30,938,37,28,1828,42,890,12,5,16,21,47,84,251,11,1832,17,722,6374,27,13,14,26,571,52,33,10,459,85,14,4,40,208,1480,20,52,92,22,24,37,1264,391,26,0,2744,67,13,50,0,0,9,65,892,39,157,559,33,13,174,233,4,217,333,390,20,27,11,12784,40,"206011108",74,295,19,165,21,96,129,91,30,48,116,24977,12193,18,225,50,16,1293,48,34,45,"Coburg",68,294,24,11,589,7,4,13,18,47,17,35,54,119,53,15,166,6961,32,36,18,81,21,38,5097,65,10349,5252,33,90,0,168,47,20,78,0,44,0,112,139,50,95,23
21,6,6072,446,462,0,107,11,53,0,11,11,0,46,54,5,10,9,142,7,6,272,14,130,5,3,10,5,5,12,30,7,908,3,175,3011,8,4,4,0,138,10,9,8,64,24,0,0,11,34,591,7,15,21,0,8,10,477,119,0,0,1068,32,7,14,0,0,6,12,189,12,19,119,12,6,49,33,0,70,70,52,5,13,3,4814,3,"206011109",33,34,0,73,3,20,28,40,6,13,33,9533,4719,7,48,14,4,313,12,10,8,"Pascoe Vale South",21,34,6,3,68,3,0,3,4,5,10,4,7,19,8,6,24,3061,16,9,4,17,3,12,1533,10,3148,1615,4,34,0,70,7,8,36,0,15,0,17,38,25,23,12
38,13,4695,49,53,3,872,24,364,0,20,16,3,21,508,3,18,6,179,28,15,383,15,204,9,4,11,9,18,46,202,7,102,53,379,2345,18,10,8,15,363,16,16,6,334,33,5,0,18,132,84,46,17,34,0,11,99,85,865,0,5,169,10,5,11,3,8,4,28,238,13,38,139,9,7,502,59,3,363,99,97,4,3,3,4811,10,"206031115",51,55,7,112,3,39,62,61,3,9,439,9158,4347,6,101,9,4,742,186,5,11,"Flemington",253,44,0,0,99,3,0,0,13,5,9,13,10,10,26,16,15,2350,25,4,15,15,4,35,1623,16,3721,2098,6,296,0,465,11,20,169,0,30,0,27,71,6,41,3
