Sa2code,Total,Japanese,Hungarian,English,Serbian,Spanish,Australian Indigenous,Chinese,Austronesian,Thai,Arabic,Russian,Assyrian,Turkish,Greek,Iranic,Polish,Croatian,Korean,Maltese,French,Dutch,Italian,Vietnamese,Germa,Samoan,Macedonian,Indo Aryan,Tamil,Khmer,Portuguese
206041123,15496,95,6,8068,36,189,0,2106,221,62,287,31,3,66,99,45,31,28,199,36,77,8,253,319,70,3,14,228,43,0,27
206041124,6192,27,0,4100,3,42,0,771,114,31,26,15,0,12,44,30,18,7,44,9,48,3,99,41,31,3,6,93,18,0,25
206041126,11309,117,6,5644,22,109,0,1821,765,70,182,62,0,11,61,66,27,16,178,11,73,30,89,71,54,3,21,292,60,4,23
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,14130,42,12,10305,14,107,0,546,183,32,43,41,0,14,812,25,61,23,30,15,101,28,220,41,70,3,19,166,46,0,33
208021180,7052,64,3,3923,5,46,0,617,80,14,35,71,0,4,909,10,29,9,81,3,46,6,149,67,22,0,0,340,33,7,9
206051129,14638,47,44,11314,24,109,3,141,25,19,34,205,0,31,257,14,96,39,20,11,151,38,216,15,127,0,13,138,11,0,15
206051130,14512,54,9,10656,54,82,0,290,57,22,60,119,9,64,880,16,68,43,13,33,96,35,232,72,95,9,36,49,6,0,42
206051131,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206061136,17485,66,26,12268,27,118,0,540,174,52,59,199,0,134,1098,21,70,27,33,4,127,29,203,95,91,0,12,227,36,11,17
206051132,9824,46,11,6792,20,57,0,465,223,18,63,267,0,28,333,25,30,11,36,3,84,21,100,73,41,3,21,84,19,0,12
206061137,14665,90,20,9893,41,149,0,741,198,55,68,293,0,49,362,64,59,26,48,0,152,28,158,90,98,7,17,256,27,0,30
206051133,22551,68,61,16066,52,231,3,469,168,46,77,326,0,48,311,59,126,50,59,17,255,48,246,55,172,3,22,456,35,7,41
206051134,15710,71,52,10977,51,140,3,357,119,52,41,446,0,33,307,17,107,41,33,8,122,29,185,34,121,0,15,540,29,0,31
206061138,12870,47,21,9746,28,53,0,587,74,46,41,55,0,7,197,21,79,10,23,4,101,12,163,42,76,0,12,246,11,3,20
206071140,8294,19,9,6416,14,60,3,204,45,10,62,20,3,17,176,16,16,26,11,6,69,16,425,23,58,0,6,37,9,0,0
206071139,4905,14,0,3182,5,19,3,213,20,35,13,0,0,8,213,4,4,8,10,6,28,0,50,421,21,0,6,23,9,0,3
206071141,6467,17,3,3719,24,37,3,289,29,15,142,10,0,78,165,24,16,10,14,6,30,11,55,490,28,0,7,20,6,3,3
206071143,11473,24,15,8710,40,91,0,205,23,22,108,14,0,23,319,11,12,26,7,18,90,28,581,125,58,0,30,51,6,3,25
206071144,26118,91,25,17412,91,182,3,1433,215,65,103,45,3,75,1298,17,60,89,27,17,95,25,302,1726,116,9,38,277,24,19,36
206071145,8135,30,3,6573,6,57,0,106,35,15,28,6,0,10,298,11,3,34,7,12,44,12,191,53,58,0,41,38,8,3,3
207011152,13572,33,15,9904,20,69,0,801,92,65,42,14,0,4,342,40,35,4,78,9,90,27,203,68,45,0,12,530,22,3,24
207011146,7584,24,15,5848,8,17,0,462,28,14,25,15,3,10,217,42,16,11,19,3,27,23,84,67,47,0,9,145,17,9,7
207011153,23587,102,29,17102,29,119,0,1873,138,78,85,50,3,26,738,79,56,52,76,4,84,16,544,303,116,7,60,376,33,3,14
207011147,15584,54,19,10102,17,62,0,2726,140,22,43,16,8,33,455,48,36,27,105,12,50,21,266,187,55,3,15,325,56,4,11
207011149,20029,60,27,15781,18,74,3,1121,118,26,69,36,0,11,551,30,59,31,71,3,154,22,394,148,98,6,15,327,48,0,21
207011148,19943,65,30,12139,57,70,0,3288,108,18,126,24,0,44,1251,96,36,38,141,6,66,35,725,236,57,0,68,420,84,0,11
