value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, value_non_resial_building_aud000, sa2_code, value_alterations_additions_conversions_resial_building_aud000, sa2_name
22823.7,6,25022.1,0.0,0,2088.2,6,2198.4,"206071140",20735.4,"Carlton North - Princes Hill"
45586.8,14,82811.0,12108.4,24,10301.3,40,37224.2,"206071143",23177.1,"Fitzroy North"
217638.2,27,311837.2,174198.9,606,12692.7,634,94199.0,"206071144",30746.6,"Richmond (Vic.)"
86398.4,9,96660.3,58444.0,208,5940.0,239,10261.8,"206071145",22014.5,"Yarra - North"
35080.1,51,36041.9,4462.4,10,23970.4,61,961.8,"207011146",6647.3,"Ashburton (Vic.)"
96242.2,59,111242.5,26856.5,62,59878.9,121,15000.3,"207011147",9506.8,"Balwyn"
87094.7,44,98092.1,15660.8,36,41266.0,80,10997.4,"207011149",30167.8,"Camberwell"
138304.5,114,141701.9,29742.8,88,96579.0,202,3397.3,"207011148",11982.7,"Balwyn North"
211306.1,40,233533.8,115509.6,167,55157.8,207,22227.7,"207011153",40638.6,"Kew"
83829.5,55,87526.1,32896.4,111,37769.8,166,3696.6,"207011150",13163.2,"Glen Iris - East"
203388.9,21,292429.4,126945.1,359,33374.8,381,89040.5,"207011151",43069.0,"Hawthorn"
233806.3,17,243755.9,183285.2,393,17660.7,410,9949.6,"207011152",32860.3,"Hawthorn East"
21565.2,14,24265.5,0.0,0,14075.2,16,2700.2,"207011154",7490.0,"Kew East"
88414.6,31,93764.8,27582.8,78,40249.0,109,5350.2,"207011155",20582.8,"Surrey Hills (West) - Canterbury"
63426.1,54,67275.4,36464.4,100,23166.9,156,3849.2,"207021156",3794.8,"Bulleen"
142739.1,104,153503.6,85853.8,234,51399.2,338,10764.5,"207021157",5486.1,"Doncaster"
44044.3,40,48097.9,9593.1,28,24876.6,68,4053.6,"207021159",9574.5,"Templestowe"
41076.4,36,45464.1,17979.2,52,17960.8,88,4387.8,"207021160",5136.4,"Templestowe Lower"
43984.8,24,47313.4,28586.4,106,11889.1,130,3328.7,"207021424",3509.3,"Doncaster East (North)"
91258.7,29,95575.2,73684.8,236,14976.5,265,4316.4,"207021425",2597.4,"Doncaster East (South)"
63893.6,81,69991.0,15404.9,46,34138.2,127,6097.4,"207031161",14350.6,"Blackburn"
256701.3,49,328216.9,227275.2,792,23228.4,841,71515.6,"207031163",6197.7,"Box Hill"
118610.7,39,183526.4,39178.9,116,45142.1,155,64915.7,"208021177",34289.7,"Caulfield - North"
60294.4,65,62186.3,23544.5,71,31739.6,136,1891.9,"207031164",5010.3,"Box Hill North"
57707.5,35,88976.1,37018.4,145,16687.0,181,31268.6,"207031165",4002.1,"Burwood"
11672.0,19,15087.4,3591.7,10,6722.5,29,3415.4,"207031166",1357.8,"Burwood East"
77951.0,77,87489.4,41942.1,114,30713.0,191,9538.4,"208021426",5295.9,"Bentleigh East (North)"
85018.1,59,124864.3,28686.3,54,46983.4,113,39846.2,"208011168",9348.4,"Beaumaris"
63004.3,45,72564.9,22707.9,49,24951.9,94,9560.6,"208021178",15344.6,"Caulfield - South"
176494.4,60,205311.8,68357.1,113,74036.2,174,28817.3,"208011169",34101.1,"Brighton (Vic.)"
45857.1,12,78628.9,14992.7,58,7876.4,70,32771.8,"208021179",22987.9,"Elsternwick"
107110.0,40,114969.3,55139.4,171,36821.7,212,7859.3,"208011173",15148.9,"Sandringham - Black Rock"
42382.4,32,46718.8,23095.3,90,15578.9,122,4336.3,"208031185",3708.3,"Carrum - Patterson Lakes"
47504.0,50,51628.4,27212.8,93,15172.0,143,4124.5,"208031186",5119.1,"Chelsea - Bonbeach"
65834.4,74,128517.4,34481.7,126,25055.8,200,62683.0,"208031188",6296.9,"Cheltenham - Highett (East)"
38188.2,46,52422.7,17697.3,57,16892.4,104,14234.6,"208031190",3598.5,"Mentone"
55189.7,53,58298.2,32173.8,126,17730.5,179,3108.5,"208031189",5285.4,"Edithvale - Aspendale"
9942.9,15,21968.5,3365.9,14,5059.4,29,12025.6,"209011196",1517.6,"Bundoora - East"
25592.7,30,71367.4,11047.0,34,12375.9,65,45774.8,"208031191",2169.7,"Moorabbin - Heatherton"
0.0,0,23975.3,0.0,0,0.0,0,23975.3,"208031192",0.0,"Moorabbin Airport"
24551.1,38,109277.2,5588.3,22,11891.4,60,84726.1,"209011197",7071.4,"Greensborough"
13597.1,22,14198.0,3495.0,14,6356.7,36,600.9,"209011204",3745.4,"Watsonia"
104638.2,130,112599.6,49064.7,183,46503.0,315,7961.4,"208031193",9070.5,"Mordialloc - Parkdale"
23353.4,12,39791.4,16308.9,78,4266.1,91,16438.0,"209021205",2778.4,"Kingsbury"
68208.9,58,72281.5,43430.5,209,13921.8,270,4072.6,"209021207",10856.6,"Reservoir - East"
38508.4,37,44973.0,18900.1,104,10657.1,141,6464.6,"209021208",8951.2,"Reservoir - West"
0.0,0,3692.0,0.0,0,0.0,0,3692.0,"210011227",0.0,"Essendon Airport"
136311.0,43,242917.9,49819.9,132,44675.2,199,106606.9,"208041194",41815.9,"Malvern - Glen Iris"
16882.3,13,41400.4,5688.1,25,5816.1,38,24518.1,"209021429",5378.0,"Preston - West"
147029.4,47,257216.0,86596.2,269,26508.7,316,110186.7,"208041195",33924.5,"Malvern East"
43504.8,41,62067.1,15715.8,57,18618.6,98,18562.3,"209031209",9170.4,"Eltham"
5085.1,9,5385.1,798.0,2,2376.8,11,300.0,"209031210",1910.4,"Hurstbridge"
4982.7,16,5722.8,0.0,0,4170.0,16,740.0,"209031211",812.8,"Kinglake"
14399.2,22,19792.2,0.0,0,12628.3,22,5393.1,"209031212",1770.8,"Panton Hill - St Andrews"
22705.6,30,32890.6,510.0,2,19673.0,33,10185.0,"209031213",2522.6,"Plenty - Yarrambat"
11953.9,10,12108.9,0.0,0,8429.9,10,155.0,"209031214",3524.0,"Research - North Warrandyte"
58194.8,30,95860.2,36321.3,136,11842.0,166,37665.5,"209011198",10031.5,"Heidelberg - Rosanna"
6216.6,9,7245.1,2324.9,9,2972.6,18,1028.5,"209041217",919.1,"Bundoora - West"
51306.8,49,91623.8,36890.1,167,12979.3,216,40316.9,"209041219",1437.5,"Lalor"
69603.2,88,76255.9,41464.5,172,24238.8,262,6652.6,"209011199",3899.9,"Heidelberg West"
61390.2,91,74683.7,14822.4,49,35759.5,140,13293.5,"209011200",10808.3,"Ivanhoe"
41409.1,23,42174.4,7170.1,20,19878.5,43,765.3,"209011201",14360.6,"Ivanhoe East - Eaglemont"
33091.6,41,47633.9,3821.3,12,20456.9,55,14542.3,"209011202",8813.3,"Montmorency - Briar Hill"
22357.8,20,38693.0,6349.7,22,8217.5,44,16335.2,"209011203",7790.6,"Viewbank - Yallambie"
83358.8,26,107418.5,64868.4,296,9047.9,322,24059.6,"209021428",9442.5,"Preston - East"
37964.5,59,44295.5,7365.5,29,25133.8,88,6331.1,"209031215",5465.2,"Wattle Glen - Diamond Creek"
6173.7,13,7407.1,330.0,2,4228.4,15,1233.4,"209041431",1615.3,"Epping - East"
8509.4,4,75444.7,6839.0,31,949.2,35,66935.3,"209041432",721.2,"Epping - South"
8454.2,12,38819.7,0.0,0,7230.7,12,30365.6,"209041216",1223.5,"Bundoora - North"
17609.3,25,60789.7,11181.2,52,6268.0,77,43180.3,"209041433",160.1,"Epping - West"
124914.8,470,165200.0,9334.4,53,114980.5,523,40285.3,"209041434",599.9,"Mernda"
18130.5,49,20721.5,1500.0,8,16167.3,57,2591.0,"209041435",463.2,"South Morang (North)"
24530.3,11,94317.3,19169.0,48,3690.9,60,69787.0,"209041220",1670.4,"Mill Park - North"
3324.3,5,7307.7,0.0,0,1837.4,5,3983.4,"209041221",1486.8,"Mill Park - South"
42339.9,30,48533.7,32820.8,142,8303.4,173,6193.8,"210011226",1215.8,"Airport West"
16123.2,15,27594.6,11397.8,67,3078.7,82,11471.4,"209041223",1646.7,"Thomastown"
96482.4,356,104818.0,295.0,2,93068.4,358,8335.6,"209041224",3119.0,"Wallan"
16309.5,45,21248.6,265.0,2,13362.1,47,4939.1,"209041225",2682.3,"Whittlesea"
134817.0,495,147653.9,4130.0,24,129215.8,520,12836.9,"209041430",1471.2,"Doreen"
12506.2,31,47292.4,4000.0,26,7351.1,57,34786.2,"209041436",1155.1,"South Morang (South)"
173802.7,659,189074.1,5110.0,28,168128.4,687,15271.4,"209041437",564.3,"Wollert"
7276.9,9,43259.8,1178.0,4,3224.5,13,35982.9,"210011228",2874.5,"Keilor"
101821.0,76,104500.2,64562.6,260,30926.1,337,2679.1,"210011229",6332.3,"Keilor East"
23716.6,20,35677.3,11834.9,45,8689.4,65,11960.7,"210011230",3192.4,"Niddrie - Essendon West"
44154.1,29,51791.3,17959.4,57,17596.2,86,7637.2,"210011231",8598.5,"Strathmore"
33942.8,75,36532.5,0.0,0,29527.0,77,2589.7,"210021232",4415.8,"Gisborne"
29289.2,109,42405.7,580.0,4,26343.1,113,13116.5,"212031300",2366.1,"Cranbourne"
640391.7,2315,680468.7,25325.1,132,613243.6,2447,40077.0,"212031301",1822.9,"Cranbourne East"
4364.8,5,4879.9,0.0,0,2466.9,5,515.2,"210021233",1897.9,"Macedon"
12765.3,28,12765.3,3102.1,16,8491.6,44,0.0,"210021234",1171.6,"Riddells Creek"
33200.4,106,35365.5,460.5,2,28797.4,108,2165.1,"210021235",3942.5,"Romsey"
27958.4,26,35381.0,14973.9,71,9150.0,97,7422.6,"210031236",3834.5,"Coburg North"
21595.5,31,22613.6,12739.2,70,7268.7,101,1018.1,"210031237",1587.6,"Fawkner"
66614.5,85,67877.9,46739.2,232,18223.2,318,1263.4,"210031438",1652.2,"Glenroy"
105950.0,101,133578.4,72223.1,325,28903.6,427,27628.4,"210031239",4823.4,"Pascoe Vale"
6893.9,2,6893.9,4975.0,18,1324.2,20,0.0,"210031439",594.7,"Gowanbrae"
22412.6,19,70551.5,16833.8,96,4077.0,116,48138.9,"210051242",1501.8,"Broadmeadows"
6546.7,14,7051.0,1744.2,10,3773.3,24,504.3,"210051247",1029.2,"Meadow Heights"
0.0,0,153989.8,0.0,0,0.0,0,153989.8,"210051248",0.0,"Melbourne Airport"
7750.6,16,54322.6,4139.1,27,2631.6,43,46572.0,"210051243",980.0,"Campbellfield - Coolaroo"
37491.8,36,44728.6,24409.7,128,10432.8,164,7236.8,"210051245",2649.3,"Gladstone Park - Westmeadows"
153435.9,503,162175.4,3231.2,16,147368.2,519,8739.5,"210051246",2836.5,"Greenvale - Bulla"
5758.6,13,9731.3,575.0,2,3933.6,15,3972.7,"211031452",1250.0,"Croydon South"
56522.8,203,95684.1,6620.0,33,48859.1,236,39161.3,"210051249",1043.7,"Roxburgh Park - Somerton"
10351.4,26,14786.0,3584.2,18,6201.3,44,4434.6,"210051250",565.9,"Tullamarine"
